s;l
543;engine.percent.torque.at.point.5
544;engine.reference.torque
545;engine.gain.kp.of.the.endspeed.governor
546;retarder.speed.at.idle.point.1
547;retarder.speed.at.peak.torque.point.5
548;maximum.retarder.speed.point.2
549;retarder.speed.at.point.3
550;retarder.speed.at.point.4
551;percent.torque.at.idle.point.1
552;percent.torque.at.maximum.speed.point.2
553;percent.torque.at.point.3
554;percent.torque.at.point.4
555;percent.torque.at.peak.torque.point.5
556;reference.retarder.torque
557;retarder.control.method
558;accelerator.pedal.1.low.idle.switch
559;accelerator.pedal.kickdown.switch
560;transmission.driveline.engaged
561;tcsasr.engine.control.active
562;tcsasr.brake.control.active
563;antilock.braking.abs.active
564;differential.lock.state.central
565;differential.lock.state.central.front
566;differential.lock.state.central.rear
567;differential.lock.state.front.axle.1
568;differential.lock.state.front.axle.2
569;differential.lock.state.rear.axle.1
570;differential.lock.state.rear.axle.2
571;retarder.enable.brake.assist.switch
572;retarder.enable.shift.assist.switch
573;torque.converter.lockup.engaged
574;transmission.shift.in.process
575;abs.offroad.switch
576;asr.offroad.switch
577;asr.hill.holder.switch
578;drive.axle.temperature
579;drive.axle.lift.air.pressure
580;altitude
581;transmission.gear.ratio
582;axle.weight
583;pitch
584;latitude
585;longitude
586;make
587;model
588;serial.number
589;alternator.speed
590;engine.idle.shutdown.timer.state
591;engine.idle.shutdown.timer.function
592;engine.idle.shutdown.timer.override
593;engine.idle.shutdown.has.shutdown.engine
594;engine.idle.shutdown.driver.alert.mode
595;cruise.control.active
596;cruise.control.enable.switch
597;brake.switch
598;clutch.switch
599;cruise.control.set.switch
600;cruise.control.coast.decelerate.switch
601;cruise.control.resume.switch
602;cruise.control.accelerate.switch
603;brake.pedal.switch.2
604;transmission.neutral.switch
605;refrigerant.high.pressure.switch
606;engine.momentary.overspeed.enable
607;progressive.shift.disable
608;j1587.previously.sae.j1708
609;controller.2
610;power.connect.device
611;system.diagnostic.code.1
612;system.diagnostic.code.2
613;system.diagnostic.code.3
614;system.diagnostic.code.4
615;system.diagnostic.code.5
616;auxiliary.analog.input.1
617;parking.brake.on.actuator
618;parking.brake.off.actuator
619;parking.brake.actuator
620;5.volts.dc.supply
621;antenna.electronics
622;j1922
623;red.stop.lamp
624;amber.warning.lamp
625;proprietary.data.link
626;engine.start.enable.device.1
627;power.supply
628;program.memory
629;controller.1
630;calibration.memory
631;calibration.module
632;engine.fuel.shutoff.valve.1
633;engine.fuel.actuator.1.control.command
634;engine.throttle.bypass.valve
635;engine.timing.actuator.1
636;engine.position.sensor
637;engine.timing.sensor
638;engine.fuel.rack.actuator
639;j1939.network.1
640;engine.external.protection.input
641;engine.turbocharger.variable.geometry.actuator.1
642;engine.turbocharger.variable.geometry.actuator.2
643;engine.external.fuel.command.input
644;engine.external.speed.command.input
645;engine.tachometer.signal.output
646;engine.turbocharger.1.wastegate.drive.1
647;engine.fan.clutch.output.device.driver
648;engine.exhaust.back.pressure.sensor
649;engine.exhaust.back.pressure.regulator.control.command
650;electronic.drive.unit.power.relay
651;engine.injector.cylinder.01
652;engine.injector.cylinder.02
653;engine.injector.cylinder.03
654;engine.injector.cylinder.04
655;engine.injector.cylinder.05
656;engine.injector.cylinder.06
657;engine.injector.cylinder.07
658;engine.injector.cylinder.08
659;engine.injector.cylinder.09
660;engine.injector.cylinder.10
661;engine.injector.cylinder.11
662;engine.injector.cylinder.12
663;engine.injector.cylinder.13
664;engine.injector.cylinder.14
665;engine.injector.cylinder.15
666;engine.injector.cylinder.16
667;engine.injector.cylinder.17
668;engine.injector.cylinder.18
669;engine.injector.cylinder.19
670;engine.injector.cylinder.20
671;engine.injector.cylinder.21
672;engine.injector.cylinder.22
673;engine.injector.cylinder.23
674;engine.injector.cylinder.24
675;engine.glow.plug.lamp
676;engine.glow.plug.relay
677;engine.starter.motor.relay
678;ecu.8.volts.dc.supply
679;engine.injection.control.pressure.regulator
680;engine.valve.variable.swirl.system
681;transmission.gear.shift.inhibit.request
682;torque.converter.lockup.disable.request
683;disengage.driveline.request
684;requested.percent.clutch.slip
685;disengage.differential.lock.request.front.axle.1
686;disengage.differential.lock.request.front.axle.2
687;disengage.differential.lock.request.rear.axle.1
688;disengage.differential.lock.request.rear.axle.2
689;disengage.differential.lock.request.central
690;disengage.differential.lock.request.central.front
691;disengage.differential.lock.request.central.rear
692;abs.offroad.switch.request
693;asr.offroad.switch.request
694;asr.hill.holder.switch.request
695;engine.override.control.mode
696;engine.requested.speed.control.conditions
697;auxiliary.pwm.driver.1
698;auxiliary.pwm.driver.2
699;auxiliary.pwm.driver.3
700;auxiliary.pwm.driver.4
701;auxiliary.io.01
702;auxiliary.io.02
703;auxiliary.io.03
704;auxiliary.io.04
705;auxiliary.io.05
706;auxiliary.io.06
707;auxiliary.io.07
708;auxiliary.io.08
709;auxiliary.io.09
710;auxiliary.io.10
711;auxiliary.io.11
712;auxiliary.io.12
713;auxiliary.io.13
714;auxiliary.io.14
715;auxiliary.io.15
716;auxiliary.io.16
717;autoshift.high.gear.actuator
718;autoshift.low.gear.actuator
719;autoshift.neutral.actuator
720;autoshift.common.low.side
721;prestroke.sensor
722;prestroke.actuator
723;engine.speed.sensor.2
724;engine.oxygen.sensor.heated
725;engine.ignition.control.mode.signal
726;engine.ignition.control.timing.signal
727;engine.turbocharger.secondary.inlet.pressure
728;engine.after.cooleroil.cooler.coolant.temperature
729;engine.inlet.air.heater.driver.1
730;engine.inlet.air.heater.driver.2
731;engine.knock.sensor
732;engine.gas.metering.valve
733;engine.rack.position.sensor
734;transmission.range.clutch.c1.solenoid
735;transmission.range.clutch.c2.solenoid
736;transmission.range.clutch.c3.solenoid
737;transmission.range.clutch.c4.solenoid
738;transmission.range.clutch.c5.solenoid
739;transmission.range.clutch.c6.solenoid
740;transmission.lockup.clutch.actuator
741;transmission.forward.solenoid.valve
742;transmission.low.signal.solenoid.valve
743;retarder.enable.solenoid.valve
744;retarder.modulation.solenoid.valve
745;retarder.response.solenoid.valve
746;differential.lock.solenoid.valve.1
747;enginetransmission.match
748;transmission.output.retarder
749;transmission.neutral.start.output
750;transmission.turbine.speed.sensor
751;transmission.primary.shift.selector
752;transmission.secondary.shift.selector
753;transmission.special.function.inputs
754;transmission.range.c1.clutch.pressure.indicator
755;transmission.range.c2.clutch.pressure.indicator
756;transmission.range.c3.clutch.pressure.indicator
757;transmission.range.c4.clutch.pressure.indicator
758;transmission.range.c5.clutch.pressure.indicator
759;transmission.range.c6.clutch.pressure.indicator
760;transmission.lockup.clutch.pressure.indicator.1
761;transmission.forward.range.pressure.indicator
762;transmission.neutral.range.pressure.indicator
763;transmission.reverse.range.pressure.indicator
764;retarder.response.system.pressure.indicator
765;differential.lock.clutch.pressure.indicator
766;transmission.multiple.pressure.indicators
767;transmission.reverse.direction.switch
768;transmission.range.high.actuator
769;transmission.range.low.actuator
770;transmission.splitter.direct.actuator
771;transmission.splitter.indirect.actuator
